"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

55.950,2.620,-4.640110,-52.247253,1.795346,2.562392,-2.135323,4.000000,130.295822,13.298126,5726.000000,15.300000,3.590000,39.000000,856.000000,906.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.637500,0.042000,131.500000,132.000000,128.500000,123.000000,13.200000,84.379997,183.379990,68.000000,68.000000,26.377209,11.000000,0.774666,0.235172,-0.008389,21.039421,32.281265,291.000000,1.390000,298.477631,16.380245,1.393198,42.906250,24.873137,0.000000,6.417071,131.750000,0.022890,42.067256266887,-84.237474888870,291.34
55.960,2.621,-3.419414,-46.143772,2.030825,2.417356,-2.574743,4.000000,130.295822,13.297961,5747.799805,14.720000,3.548000,39.139999,856.000000,903.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.644800,0.042000,131.800003,132.600006,129.000000,123.199997,13.200000,84.379997,183.379990,68.000000,68.000000,26.433132,11.000000,0.781740,0.231348,0.000206,21.293814,32.512741,291.000000,1.390000,299.308380,16.414974,1.393198,43.180000,24.942366,0.000000,6.321620,132.199997,0.022905,42.067257288691,-84.237474446589,291.34
55.970,2.621,-4.640110,-52.857601,2.397590,2.422648,-2.883696,4.000000,130.295822,13.297796,5769.600098,14.140000,3.506000,39.279999,856.000000,901.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.652100,0.042000,132.100006,133.199997,129.500000,123.400002,13.200000,84.379997,183.379990,68.000000,68.000000,26.489056,11.000000,0.788814,0.227524,0.008800,21.548206,32.744213,291.000000,1.390000,300.139130,16.449703,1.393198,43.453751,25.011595,0.000000,6.226169,132.649994,0.022920,42.067258310495,-84.237474004309,291.34
55.980,2.621,-4.640110,-55.298992,2.722181,2.496830,-2.722570,4.000000,130.295822,13.297632,5791.399902,13.560000,3.464000,39.420002,856.000000,898.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.659400,0.042000,132.399994,133.800003,130.000000,123.599998,13.200000,84.379997,183.379990,68.000000,68.000000,26.544979,11.000000,0.795889,0.223700,0.017394,21.802601,32.975689,291.000000,1.390000,300.969879,16.484432,1.393198,43.727501,25.080824,0.000000,6.130717,133.100006,0.022935,42.067259332299,-84.237473562028,291.34
55.990,2.622,-0.978022,-46.143772,2.954080,2.549910,-2.563726,4.000000,130.295822,13.297467,5813.200195,12.980000,3.422000,39.560001,856.000000,896.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.666700,0.042000,132.699997,134.399994,130.500000,123.800003,13.200000,84.379997,183.379990,68.000000,68.000000,26.600903,11.000000,0.802963,0.219876,0.025989,22.056993,33.207165,291.000000,1.390000,301.800629,16.519159,1.393198,44.001251,25.150053,0.000000,6.035265,133.550003,0.022950,42.067260354103,-84.237473119748,291.34
56.000,2.622,-2.198718,-46.143772,3.134368,2.574676,-2.782806,4.000000,130.295822,13.297302,5835.000000,12.400001,3.380000,39.700001,856.000000,894.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.674000,0.042000,133.000000,135.000000,131.000000,124.000000,13.200000,84.379997,183.379990,68.000000,68.000000,26.656826,11.000000,0.810037,0.216053,0.034583,22.311386,33.438641,291.000000,1.390000,302.631378,16.553888,1.393198,44.275002,25.219282,0.000000,5.939814,134.000000,0.022965,42.067261375907,-84.237472677468,291.34
56.010,2.623,-4.029761,-50.416210,3.209091,2.540519,-2.942852,4.000000,130.295822,13.297137,5834.600098,12.280001,3.368000,39.680000,856.000000,893.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.678600,0.042000,133.500000,135.000000,131.600006,124.500000,13.200000,84.379997,183.379990,68.000000,68.000000,26.706535,11.000000,0.818322,0.212165,0.042605,22.534840,33.741161,291.000000,1.390000,303.936859,16.584759,1.393198,44.447502,25.328072,0.000000,5.626054,134.250000,0.022966,42.067262397711,-84.237472235187,291.34
56.020,2.623,-2.198718,-49.805862,3.080562,2.424506,-2.644040,4.000000,130.295822,13.296972,5834.200195,12.160001,3.356000,39.660000,856.000000,893.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.683200,0.042000,134.000000,135.000000,132.199997,125.000000,13.200000,84.379997,183.379990,68.000000,68.000000,26.756245,11.000000,0.826608,0.208277,0.050626,22.758293,34.043682,291.000000,1.390000,305.242310,16.615627,1.393198,44.620003,25.436861,0.000000,5.312293,134.500000,0.022966,42.067263419515,-84.237471792907,291.34
56.030,2.623,2.684066,-47.364468,2.824065,2.320297,-2.183404,4.000000,130.295822,13.296808,5833.799805,12.040000,3.344000,39.640003,856.000000,893.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.687800,0.042000,134.500000,135.000000,132.800003,125.500000,13.200000,84.379997,183.379990,68.000000,68.000000,26.805956,11.000000,0.834893,0.204390,0.058647,22.981747,34.346207,291.000000,1.390000,306.547791,16.646498,1.393198,44.792500,25.545649,0.000000,4.998533,134.750000,0.022967,42.067264441319,-84.237471350626,291.34
56.040,2.624,3.904762,-40.040291,2.677776,2.350135,-1.988936,4.000000,130.295822,13.296643,5833.399902,11.920000,3.332000,39.620003,856.000000,893.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.692400,0.042000,135.000000,135.000000,133.399994,126.000000,13.200000,84.379997,183.379990,68.000000,68.000000,26.855665,11.000000,0.843178,0.200502,0.066669,23.205200,34.648727,291.000000,1.390000,307.853241,16.677366,1.393198,44.965000,25.654438,0.000000,4.684772,135.000000,0.022968,42.067265463123,-84.237470908346,291.34
56.050,2.624,3.904762,-36.378204,2.735091,2.474459,-2.015894,4.000000,130.295822,13.296478,5833.000000,11.800000,3.320000,39.600002,856.000000,893.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.697000,0.042000,135.500000,135.000000,134.000000,126.500000,13.200000,84.379997,183.379990,68.000000,68.000000,26.905375,11.000000,0.851463,0.196614,0.074690,23.428654,34.951248,291.000000,1.390000,309.158722,16.708237,1.393198,45.137501,25.763227,0.000000,4.371012,135.250000,0.022968,42.067266484927,-84.237470466066,291.34
56.060,2.625,1.463370,-41.260990,2.799443,2.556155,-1.908926,4.000000,130.295822,13.296313,5854.799805,11.780000,3.320000,39.800003,856.000000,890.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.701600,0.042000,136.000000,135.000000,134.600006,127.000000,13.200000,84.379997,183.379990,68.000000,68.000000,26.955084,11.000000,0.859748,0.192727,0.082712,23.652109,35.253769,291.000000,1.390000,310.464203,16.739107,1.393198,45.310001,25.872017,0.000000,4.057251,135.500000,0.022969,42.067267506731,-84.237470023785,291.34
56.070,2.625,-3.419414,-38.819595,2.704349,2.567570,-1.555538,4.000000,130.295822,13.296148,5876.600098,11.760000,3.320000,40.000004,856.000000,888.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.706200,0.042000,136.500000,135.000000,135.199997,127.500000,13.200000,84.379997,183.379990,68.000000,68.000000,27.004793,11.000000,0.868034,0.188839,0.090733,23.875563,35.556290,291.000000,1.390000,311.769653,16.769976,1.393198,45.482502,25.980806,0.000000,3.743491,135.750000,0.022970,42.067268527572,-84.237469569478,291.34
56.080,2.625,-4.029761,-39.429943,2.558605,2.542032,-1.213140,4.000000,130.295822,13.295984,5898.399902,11.740000,3.320000,40.200001,856.000000,886.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.710800,0.042000,137.000000,135.000000,135.800003,128.000000,13.200000,84.379997,183.379990,68.000000,68.000000,27.054504,11.000000,0.876319,0.184951,0.098754,24.099016,35.858814,291.000000,1.390000,313.075134,16.800846,1.393198,45.654999,26.089594,0.000000,3.429730,136.000000,0.022971,42.067269539740,-84.237469006933,291.35
56.090,2.626,3.294414,-46.143772,2.493284,2.489228,-1.042628,4.000000,130.295822,13.295819,5920.200195,11.720000,3.320000,40.400002,856.000000,884.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.715400,0.042000,137.500000,135.000000,136.399994,128.500000,13.200000,84.379997,183.379990,68.000000,68.000000,27.104214,11.000000,0.884604,0.181064,0.106776,24.322470,36.161335,291.000000,1.390000,314.380585,16.831715,1.393198,45.827499,26.198383,0.000000,3.115970,136.250000,0.022971,42.067270551909,-84.237468444388,291.35
56.100,2.626,6.346154,-44.923077,2.451708,2.483726,-1.012197,4.000000,130.295822,13.295654,5942.000000,11.700000,3.320000,40.600002,856.000000,882.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.720000,0.042000,138.000000,135.000000,137.000000,129.000000,13.200000,84.379997,183.379990,68.000000,68.000000,27.153923,11.000000,0.892889,0.177176,0.114797,24.545923,36.463856,291.000000,1.390000,315.686066,16.862585,1.393198,46.000000,26.307173,0.000000,2.802209,136.500000,0.022972,42.067271564077,-84.237467881843,291.35
56.110,2.627,1.463370,-41.260990,2.375770,2.571002,-1.244984,4.000000,130.295822,13.295489,5956.799805,11.680000,3.320000,40.720001,856.000000,880.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.720400,0.042000,137.899994,135.699997,137.100006,129.199997,13.200000,84.379997,183.379990,68.000000,68.000000,27.184992,11.000000,0.901302,0.173607,0.121100,24.731562,36.784714,291.000000,1.390000,316.042114,16.881878,1.393198,46.014999,26.336842,0.000000,2.672264,136.800003,0.023012,42.067272576246,-84.237467319297,291.35
56.120,2.627,2.684066,-35.157509,2.319445,2.647884,-1.732734,4.000000,130.295822,13.295324,5971.600098,11.660000,3.320000,40.840000,856.000000,878.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.720800,0.042000,137.800003,136.399994,137.199997,129.399994,13.200000,84.379997,183.379990,68.000000,68.000000,27.216061,11.000000,0.909714,0.170038,0.127402,24.917200,37.105568,291.000000,1.390000,316.398132,16.901173,1.393198,46.029999,26.366512,0.000000,2.542319,137.100006,0.023052,42.067273588414,-84.237466756752,291.35
56.130,2.627,1.463370,-35.157509,2.324666,2.645403,-1.966898,4.000000,130.295822,13.295160,5986.399902,11.640000,3.320000,40.960003,856.000000,876.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.721200,0.042000,137.699997,137.100006,137.300003,129.600006,13.200000,84.379997,183.379990,68.000000,68.000000,27.247128,11.000000,0.918127,0.166469,0.133705,25.102839,37.426426,291.000000,1.390000,316.754181,16.920465,1.393198,46.045002,26.396183,0.000000,2.412374,137.399994,0.023092,42.067274600583,-84.237466194207,291.35
56.140,2.628,-1.588370,-37.598900,2.405633,2.621642,-1.613760,4.000000,130.295822,13.294995,6001.200195,11.620000,3.320000,41.080002,856.000000,874.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.721600,0.042000,137.600006,137.800003,137.399994,129.800003,13.200000,84.379997,183.379990,68.000000,68.000000,27.278196,11.000000,0.926540,0.162900,0.140007,25.288477,37.747280,291.000000,1.390000,317.110229,16.939760,1.393198,46.060001,26.425852,0.000000,2.282428,137.699997,0.023132,42.067275612752,-84.237465631662,291.35
56.150,2.628,-1.588370,-40.650642,2.555720,2.649280,-1.061777,4.000000,130.295822,13.294830,6016.000000,11.600000,3.320000,41.200001,856.000000,873.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.722000,0.042000,137.500000,138.500000,137.500000,130.000000,13.200000,84.379997,183.379990,68.000000,68.000000,27.309265,11.000000,0.934952,0.159331,0.146310,25.474115,38.068138,291.000000,1.390000,317.466248,16.959053,1.393198,46.075001,26.455521,0.000000,2.152483,138.000000,0.023171,42.067276624920,-84.237465069117,291.35
56.160,2.629,2.073718,-47.364468,2.641517,2.750112,-0.834105,4.000000,130.295822,13.294665,6006.600098,11.580000,3.318000,41.119999,856.000000,873.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.722400,0.042000,137.399994,139.199997,137.600006,130.199997,13.200000,84.379997,183.379990,68.000000,68.000000,27.340334,11.000000,0.943365,0.155762,0.152612,25.659754,38.388996,291.000000,1.390000,317.822296,16.978346,1.393198,46.090000,26.485191,0.000000,2.022538,138.300003,0.023211,42.067277637089,-84.237464506571,291.35
56.170,2.629,1.463370,-42.481686,2.548865,2.823937,-1.063800,4.000000,130.295822,13.294500,5997.200195,11.560000,3.316000,41.040001,856.000000,873.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.722800,0.042000,137.300003,139.899994,137.699997,130.399994,13.200000,84.379997,183.379990,68.000000,68.000000,27.371403,11.000000,0.951778,0.152193,0.158915,25.845392,38.709850,291.000000,1.390000,318.178345,16.997641,1.393198,46.105000,26.514862,0.000000,1.892592,138.600006,0.023251,42.067278649257,-84.237463944026,291.35
56.180,2.630,-4.640110,-40.040291,2.421430,2.746046,-1.538105,4.000000,130.295822,13.294336,5987.799805,11.540000,3.314000,40.959999,856.000000,873.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.723200,0.042000,137.199997,140.600006,137.800003,130.600006,13.200000,84.379997,183.379990,68.000000,68.000000,27.402470,11.000000,0.960190,0.148624,0.165218,26.031031,39.030708,291.000000,1.390000,318.534393,17.016933,1.393198,46.120003,26.544531,0.000000,1.762647,138.899994,0.023291,42.067279661426,-84.237463381481,291.35
56.190,2.630,-0.978022,-41.260990,2.453882,2.621274,-1.792896,4.000000,130.295822,13.294171,5978.399902,11.520000,3.312000,40.880001,856.000000,873.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.723600,0.042000,137.100006,141.300003,137.899994,130.800003,13.200000,84.379997,183.379990,68.000000,68.000000,27.433538,11.000000,0.968603,0.145055,0.171520,26.216669,39.351563,291.000000,1.390000,318.890411,17.036228,1.393198,46.135002,26.574200,0.000000,1.632702,139.199997,0.023331,42.067280673594,-84.237462818936,291.35
56.200,2.630,0.853022,-33.936813,2.625859,2.633123,-1.548348,4.000000,130.295822,13.294006,5969.000000,11.500000,3.310000,40.799999,856.000000,873.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.724000,0.042000,137.000000,142.000000,138.000000,131.000000,13.200000,84.379997,183.379990,68.000000,68.000000,27.464607,11.000000,0.977016,0.141486,0.177823,26.402308,39.672421,291.000000,1.390000,319.246460,17.055521,1.393198,46.150002,26.603870,0.000000,1.502756,139.500000,0.023371,42.067281669969,-84.237462178093,291.35
56.210,2.631,0.242674,-33.326466,2.808019,2.720812,-1.162195,4.000000,130.295822,13.293841,6011.799805,11.460000,3.310000,41.180000,856.000000,871.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.733500,0.042000,137.500000,142.100006,138.600006,131.300003,13.200000,84.379997,183.379990,68.000000,68.000000,27.508102,11.000000,0.983771,0.138809,0.186990,26.504293,39.940563,291.000000,1.390000,320.314575,17.082533,1.393198,46.506252,26.692881,0.000000,1.605277,139.800003,0.023302,42.067282655814,-84.237461485053,291.35
56.220,2.631,3.904762,-41.260990,2.880506,2.742712,-1.196534,4.000000,130.295822,13.293676,6054.600098,11.420000,3.310000,41.560001,856.000000,869.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.743000,0.042000,138.000000,142.199997,139.199997,131.600006,13.200000,84.379997,183.379990,68.000000,68.000000,27.551600,11.000000,0.990527,0.136132,0.196157,26.606281,40.208710,291.000000,1.390000,321.382690,17.109543,1.393198,46.862503,26.781889,0.000000,1.707798,140.100006,0.023233,42.067283641659,-84.237460792013,291.35
56.230,2.632,2.684066,-45.533424,2.809312,2.726759,-1.695218,4.000000,130.295822,13.293512,6097.399902,11.380000,3.310000,41.939999,856.000000,868.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.752500,0.042000,138.500000,142.300003,139.800003,131.899994,13.200000,84.379997,183.379990,68.000000,68.000000,27.595097,11.000000,0.997283,0.133456,0.205325,26.708267,40.476852,291.000000,1.390000,322.450806,17.136555,1.393198,47.218750,26.870899,0.000000,1.810318,140.399994,0.023164,42.067284627505,-84.237460098973,291.36
56.240,2.632,-3.419414,-49.195511,2.761529,2.741405,-2.189078,4.000000,130.295822,13.293347,6140.200195,11.340000,3.310000,42.320000,856.000000,866.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.762000,0.042000,139.000000,142.399994,140.399994,132.199997,13.200000,84.379997,183.379990,68.000000,68.000000,27.638592,11.000000,1.004038,0.130779,0.214492,26.810253,40.744999,291.000000,1.390000,323.518921,17.163565,1.393198,47.575001,26.959908,0.000000,1.912839,140.699997,0.023095,42.067285613350,-84.237459405933,291.36
56.250,2.632,-3.419414,-49.805862,2.874146,2.765003,-2.348997,4.000000,130.295822,13.293182,6183.000000,11.300000,3.310000,42.700001,856.000000,865.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.771500,0.042000,139.500000,142.500000,141.000000,132.500000,13.200000,84.379997,183.379990,68.000000,68.000000,27.682087,11.000000,1.010794,0.128102,0.223659,26.912239,41.013142,291.000000,1.390000,324.587036,17.190577,1.393198,47.931252,27.048918,0.000000,2.015360,141.000000,0.023025,42.067286599195,-84.237458712893,291.36
56.260,2.633,0.242674,-49.805862,2.940323,2.758375,-2.419535,4.000000,130.295822,13.293017,6203.000000,10.860001,3.302000,42.860001,856.000000,862.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.781000,0.042000,140.000000,142.600006,141.600006,132.800003,13.200000,84.379997,183.379990,68.000000,68.000000,27.725584,11.000000,1.017549,0.125425,0.232827,27.014227,41.281284,291.000000,1.390000,325.655121,17.217588,1.393198,48.287502,27.137928,0.000000,2.117881,141.300003,0.022956,42.067287585040,-84.237458019853,291.36
56.270,2.633,-0.978022,-52.247253,2.727622,2.750103,-2.691786,4.000000,130.295822,13.292852,6223.000000,10.420000,3.294000,43.020000,856.000000,859.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.790500,0.042000,140.500000,142.699997,142.199997,133.100006,13.200000,84.379997,183.379990,68.000000,68.000000,27.769081,11.000000,1.024305,0.122748,0.241994,27.116213,41.549431,291.000000,1.390000,326.723236,17.244598,1.393198,48.643753,27.226936,0.000000,2.220401,141.600006,0.022887,42.067288570886,-84.237457326813,291.36
56.280,2.634,-0.978022,-49.805862,2.442789,2.812472,-2.848644,4.000000,130.295822,13.292688,6243.000000,9.980000,3.286000,43.180000,856.000000,856.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.800000,0.042000,141.000000,142.800003,142.800003,133.399994,13.200000,84.379997,183.379990,68.000000,68.000000,27.812576,11.000000,1.031061,0.120072,0.251161,27.218199,41.817574,291.000000,1.390000,327.791351,17.271610,1.393198,49.000000,27.315947,0.000000,2.322922,141.899994,0.022818,42.067289556731,-84.237456633773,291.36
56.290,2.634,-0.978022,-47.364468,2.401819,2.916038,-2.452996,4.000000,130.295822,13.292523,6263.000000,9.540000,3.278000,43.340000,856.000000,853.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.809500,0.042000,141.500000,142.899994,143.399994,133.699997,13.200000,84.379997,183.379990,68.000000,68.000000,27.856071,11.000000,1.037816,0.117395,0.260329,27.320187,42.085720,291.000000,1.390000,328.859467,17.298620,1.393198,49.356251,27.404955,0.000000,2.425442,142.199997,0.022749,42.067290542576,-84.237455940733,291.36
56.300,2.634,-5.860806,-49.805862,2.465506,2.944384,-1.748409,4.000000,130.295822,13.292358,6283.000000,9.100000,3.270000,43.500000,856.000000,851.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.819000,0.042000,142.000000,143.000000,144.000000,134.000000,13.200000,84.379997,183.379990,68.000000,68.000000,27.899569,11.000000,1.044572,0.114718,0.269496,27.422173,42.353863,291.000000,1.390000,329.927582,17.325632,1.393198,49.712502,27.493965,0.000000,2.527963,142.500000,0.022680,42.067291528421,-84.237455247692,291.36
56.310,2.635,2.684066,-43.702381,2.356577,2.926733,-1.393841,4.000000,130.295822,13.292193,6276.600098,8.400001,3.236000,43.459999,856.000000,849.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.817300,0.042000,141.899994,143.199997,144.100006,133.899994,13.200000,84.379997,183.379990,68.000000,68.000000,27.924423,11.000000,1.047758,0.112870,0.274652,27.468010,42.489082,291.000000,1.390000,329.868225,17.341066,1.393198,49.648750,27.489019,0.000000,2.663434,142.550003,0.022712,42.067292514267,-84.237454554652,291.36
56.320,2.635,14.280678,-36.378204,2.257182,2.975633,-1.596852,4.000000,130.295822,13.292028,6270.200195,7.700000,3.202000,43.419998,856.000000,847.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.815600,0.042000,141.800003,143.399994,144.199997,133.800003,13.200000,84.379997,183.379990,68.000000,68.000000,27.949278,11.000000,1.050945,0.111022,0.279809,27.513845,42.624298,291.000000,1.390000,329.808899,17.356501,1.393198,49.585003,27.484076,0.000000,2.798904,142.600006,0.022744,42.067293495899,-84.237453848505,291.36
56.330,2.636,6.346154,-41.260990,2.489568,3.010563,-1.912210,4.000000,130.295822,13.291864,6263.799805,7.000000,3.168000,43.380001,856.000000,845.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.813900,0.042000,141.699997,143.600006,144.300003,133.699997,13.200000,84.379997,183.379990,68.000000,68.000000,27.974133,11.000000,1.054132,0.109174,0.284966,27.559681,42.759518,291.000000,1.390000,329.749573,17.371937,1.393198,49.521252,27.479130,0.000000,2.934375,142.649994,0.022777,42.067294439614,-84.237453024395,291.37
56.340,2.636,-0.978022,-44.923077,2.893401,2.891266,-1.976590,4.000000,130.295822,13.291699,6257.399902,6.300000,3.134000,43.340000,856.000000,843.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.812200,0.042000,141.600006,143.800003,144.399994,133.600006,13.200000,84.379997,183.379990,68.000000,68.000000,27.998987,11.000000,1.057318,0.107325,0.290122,27.605518,42.894733,291.000000,1.390000,329.690216,17.387371,1.393198,49.457504,27.474186,0.000000,3.069845,142.699997,0.022809,42.067295383329,-84.237452200285,291.37
56.350,2.637,-2.809066,-46.754120,3.044031,2.722845,-2.051808,4.000000,130.295822,13.291534,6251.000000,5.600000,3.100000,43.299999,856.000000,841.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.810500,0.042000,141.500000,144.000000,144.500000,133.500000,13.200000,84.379997,183.379990,68.000000,68.000000,28.023842,11.000000,1.060505,0.105477,0.295279,27.651356,43.029953,291.000000,1.390000,329.630859,17.402805,1.393198,49.393753,27.469240,0.000000,3.205316,142.750000,0.022841,42.067296327044,-84.237451376174,291.37
56.360,2.637,-1.588370,-47.364468,2.886267,2.719588,-2.425024,4.000000,130.295822,13.291369,6244.200195,5.520000,3.096000,43.239998,856.000000,840.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.808800,0.042000,141.399994,144.199997,144.600006,133.399994,13.200000,84.379997,183.379990,68.000000,68.000000,28.048697,11.000000,1.063692,0.103629,0.300436,27.697191,43.165173,291.000000,1.390000,329.571533,17.418240,1.393198,49.330002,27.464294,0.000000,3.340786,142.800003,0.022873,42.067297270759,-84.237450552064,291.37
56.370,2.637,2.684066,-44.312729,2.784085,2.861542,-2.740652,4.000000,130.295822,13.291204,6237.399902,5.440000,3.092000,43.180000,856.000000,840.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.807100,0.042000,141.300003,144.399994,144.699997,133.300003,13.200000,84.379997,183.379990,68.000000,68.000000,28.073551,11.000000,1.066878,0.101781,0.305592,27.743027,43.300388,291.000000,1.390000,329.512207,17.433674,1.393198,49.266254,27.459351,0.000000,3.476257,142.850006,0.022905,42.067298214474,-84.237449727954,291.37
56.380,2.638,1.463370,-49.195511,2.932548,2.922022,-2.620890,4.000000,130.295822,13.291040,6230.600098,5.360000,3.088000,43.119999,856.000000,840.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.805400,0.042000,141.199997,144.600006,144.800003,133.199997,13.200000,84.379997,183.379990,68.000000,68.000000,28.098406,11.000000,1.070065,0.099932,0.310749,27.788864,43.435608,291.000000,1.390000,329.452850,17.449110,1.393198,49.202503,27.454405,0.000000,3.611727,142.899994,0.022937,42.067299158189,-84.237448903843,291.37
56.390,2.638,-4.640110,-54.078297,3.013562,2.805376,-2.434081,4.000000,130.295822,13.290875,6223.799805,5.280000,3.084000,43.060001,856.000000,840.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.803700,0.042000,141.100006,144.800003,144.899994,133.100006,13.200000,84.379997,183.379990,68.000000,68.000000,28.123260,11.000000,1.073251,0.098084,0.315905,27.834702,43.570824,291.000000,1.390000,329.393494,17.464544,1.393198,49.138756,27.449461,0.000000,3.747198,142.949997,0.022969,42.067300101905,-84.237448079733,291.37
